Instrument,Company,Price,Market_Cap,Revenue,EBITDA,R&D_Expense,YTD Price PCT Change
NVDA.O,NVIDIA Corp,0.00017959,4364037.0,187142.0,113205.0,16699.0,33.7329659691712
AMD.O,Advanced Micro Devices Inc,0.0002176,354261.839104,32027.0,6247.0,7473.0,80.1473631923172
TSM.N,Taiwan Semiconductor Manufacturing Co Ltd,0.00029545,1196822.0355428,116240.546338373,79864.3151541051,7639.69678037756,49.6025115195706
ASML.O,ASML Holding NV,0.00114092,434633.722083314,35779.8072189274,13596.9721093013,5077.05230892351,64.615917354418
0981.HK,Semiconductor Manufacturing International Corp,8.967572845e-06,86289.6576213027,8834.736,4270.202,727.232,119.496855345912
MU.O,Micron Technology Inc,0.00023416,263511.89839664,37378.0,18218.0,3798.0,178.231939163498
QCOM.O,Qualcomm Inc,0.00017507,187147.84978323,44284.0,13996.0,9042.0,13.9630256477021
AVGO.O,Broadcom Inc,0.00038061,1797379.35102342,59926.0,32638.0,10230.0,64.1692546583851
LRCX.O,Lam Research Corp,0.00015975,200650.7925,19591.788,6859.485,2177.475,121.16848954728
AMAT.O,Applied Materials Inc,0.00026863,214002.05516501,28368.0,8959.0,3570.0,65.1786263297055
TXN.O,Texas Instruments Inc,0.0001826,165914.563452,17266.0,7889.0,2053.0,-2.6185270118927
ADI.O,Analog Devices Inc,0.00027824,136241.35594928,11019.707,5001.321,1766.001,30.9611220935706
INTC.O,Intel Corp,4.376e-05,208735.2,53439.0,11222.0,14431.0,118.254364089776
GFS.O,GlobalFoundries Inc,3.809e-05,21165.91614345,6791.0,2156.0,506.0,-11.2328128641342
