Date,NVDA.O,AMD.O,TSM.N,ASML.O,0981.HK,MU.O,QCOM.O,AVGO.O,LRCX.O,AMAT.O,TXN.O,ADI.O,INTC.O,GFS.O
2025-01-23,,,,,39.05,,,,,,,,,
2025-01-24,,,,,41.3,,,,,,,,,
2025-01-27,,,,,38.15,,,,,,,,,
2025-01-28,,,,,38.0,,,,,,,,,
2025-01-30,124.65,118.86,208.15,736.99,,92.5,171.93,215.66,80.73,181.72,185.27,212.4,20.01,41.5
2025-01-31,120.07,115.95,209.32,739.31,,91.24,172.93,221.27,81.05,180.35,184.61,211.89,19.43,41.47
2025-02-03,116.66,114.27,199.8,731.055,41.9,89.92,170.24,217.73,80.19,178.8,180.94,205.24,19.38,41.4
2025-02-04,118.65,119.5,204.05,731.41,45.45,90.66,173.04,222.43,79.91,178.56,180.56,206.01,19.29,40.55
2025-02-05,124.83,112.01,208.57,742.59,44.7,93.6,175.86,232.0,81.94,180.67,181.59,209.8,19.65,40.58
2025-02-06,128.68,110.16,210.5,739.13,47.9,94.54,169.32,231.36,82.83,182.8,183.28,207.83,19.38,38.6
2025-02-07,129.84,107.56,206.12,727.7,46.65,92.3,167.96,224.87,82.33,180.0,180.0,205.21,19.1,38.45
2025-02-10,133.57,110.48,207.95,744.08,47.8,95.93,171.36,235.04,83.73,183.66,180.31,204.86,19.77,37.74
2025-02-11,132.8,111.1,208.74,752.98,45.3,94.08,171.99,235.04,83.26,183.2,179.25,203.46,20.97,40.1
2025-02-12,131.14,111.72,206.38,756.17,47.95,91.68,170.29,236.35,81.57,180.89,179.99,205.13,22.48,43.55
2025-02-13,135.29,111.81,201.83,776.99,46.0,95.66,172.15,235.8,83.3,184.27,180.8,209.34,24.13,42.82
2025-02-14,138.85,113.1,203.9,751.55,45.55,99.52,172.23,233.04,82.75,169.2,183.03,214.61,23.6,43.16
2025-02-17,,,,,47.5,,,,,,,,,
2025-02-18,139.4,114.28,202.74,744.22,47.8,106.79,173.64,228.53,86.58,172.0,186.46,220.22,27.39,46.01
2025-02-19,139.23,114.69,200.95,744.8,51.8,104.36,175.22,228.73,87.66,174.06,196.32,241.66,25.72,45.79
2025-02-20,140.11,114.17,200.1,743.09,50.25,103.18,173.7,226.74,89.02,176.01,203.96,243.82,26.09,44.55
2025-02-21,134.43,110.84,198.24,737.21,54.2,98.84,165.43,218.66,86.02,171.98,202.0,238.91,24.87,42.43
2025-02-24,130.28,108.11,191.65,735.96,55.0,95.41,161.1,207.93,83.34,168.57,200.74,236.99,24.27,41.52
2025-02-25,126.63,103.96,189.37,730.19,54.2,93.22,161.22,202.54,80.29,165.54,199.98,235.3,22.99,40.64
2025-02-26,131.28,104.74,194.62,746.93,57.4,97.71,162.1,212.94,81.3,168.51,198.24,233.73,23.52,40.61
2025-02-27,120.15,99.51,181.09,697.7,57.8,91.82,154.44,197.8,76.17,156.64,191.3,223.85,23.09,38.35
2025-02-28,124.92,99.86,180.53,709.08,53.6,93.63,157.17,199.43,76.74,158.07,195.99,230.06,23.73,38.77
2025-03-03,114.06,98.23,172.97,699.86,51.4,90.54,153.62,187.37,75.78,152.13,194.39,228.53,22.74,36.88
2025-03-04,115.99,100.75,180.0,708.22,51.55,91.2,154.46,187.48,76.44,152.87,194.84,226.18,21.33,37.57
2025-03-05,117.3,101.67,184.28,739.75,54.95,94.34,158.49,191.58,79.05,155.32,195.57,229.47,20.81,38.24
2025-03-06,110.57,98.85,175.85,714.84,56.3,89.27,156.04,179.45,76.47,151.54,189.34,222.77,20.75,38.39
2025-03-07,112.69,100.31,177.1,732.22,54.6,92.96,161.22,194.96,79.01,155.68,190.52,225.86,20.64,40.0
2025-03-10,106.98,96.63,170.65,683.11,52.05,87.08,154.98,184.45,73.81,149.99,186.49,216.26,19.93,39.745
2025-03-11,108.76,96.76,170.97,690.21,53.3,89.05,153.1,190.09,73.36,146.99,177.34,209.08,19.78,37.25
2025-03-12,115.74,100.79,177.17,703.37,52.45,95.64,152.8,194.23,76.59,149.06,175.7,206.62,20.68,36.86
2025-03-13,115.58,98.11,171.59,694.59,49.85,94.88,151.94,191.36,75.26,149.95,173.6,203.8,23.7,36.53
2025-03-14,121.67,100.97,174.09,714.0,50.5,100.79,156.58,195.54,78.69,155.66,176.42,208.75,24.05,37.73
2025-03-17,119.53,104.59,176.24,730.33,49.55,103.11,157.95,194.5,78.31,155.46,179.99,211.68,25.69,38.74
2025-03-18,115.43,103.51,173.13,731.11,51.7,101.72,156.29,188.67,77.36,153.51,179.45,209.16,25.92,38.68
2025-03-19,117.52,106.23,173.76,734.91,51.05,102.06,158.26,195.57,77.93,154.46,181.74,209.97,24.12,38.59
2025-03-20,118.53,107.14,177.47,734.06,50.75,103.0,157.95,190.54,77.55,154.38,180.68,205.9,23.96,38.13
2025-03-21,117.7,106.44,176.73,716.22,46.95,94.72,156.82,191.66,75.84,152.12,179.0,204.4,24.26,38.63
2025-03-24,121.41,113.85,181.16,727.84,48.3,96.94,160.08,191.25,77.99,154.95,185.51,212.34,24.22,39.72
2025-03-25,120.69,114.81,180.9,726.74,47.5,94.18,160.15,188.26,77.67,153.64,183.97,213.58,24.2,39.01
2025-03-26,113.76,110.19,173.5,705.76,48.3,92.13,158.39,179.27,76.14,150.68,184.49,210.53,23.42,38.75
2025-03-27,111.43,106.65,168.24,690.63,50.35,91.16,157.97,171.99,74.81,147.68,180.76,208.94,23.62,38.02
2025-03-28,109.67,103.22,165.25,674.58,48.0,88.44,152.72,169.12,72.61,145.06,176.33,201.56,22.71,36.89
2025-03-31,108.38,102.74,166.0,662.63,46.1,86.89,153.61,167.43,72.7,145.12,179.7,201.67,22.71,36.91
